FID,pointid,grid_code,xx,yy,Num,,,
70,6175033,-2.7421601,-88.73435884,38.21862246,1,,,
71,6173373,-2.27542,-88.73435532,38.21865804,1,,,
72,6172479,-2.9091799,-88.73435356,38.21867584,1,,,
73,6171565,-2.9091799,-88.7343518,38.21869363,1,,,
74,6170647,-2.4014299,-88.73435003,38.21871142,1,,,
75,6169694,-2.13361,-88.73434827,38.21872921,1,,,
76,6169695,-2.61624,-88.73432528,38.21872785,1,,,
77,6168774,-2.7697401,-88.73432352,38.21874564,1,,,
78,6167830,-2.7876599,-88.73432176,38.21876343,1,,,
79,6166893,-2.3984699,-88.73431999,38.21878122,1,,,
80,6165982,-2.33389,-88.73431823,38.21879901,1,,,
81,6165983,-2.2379501,-88.73429524,38.21879765,1,,,
82,6165096,-2.15646,-88.73431647,38.2188168,1,,,
83,6164215,-2.15646,-88.73431471,38.2188346,1,,,
84,6163330,-2.45801,-88.73431295,38.21885239,1,,,
85,6162443,-2.1962299,-88.73431119,38.21887018,1,,,
86,6162444,-2.55881,-88.73428819,38.21886882,1,,,
87,6161579,-2.7066,-88.73428643,38.21888661,1,,,
88,6160711,-2.47083,-88.73428467,38.2189044,1,,,
89,6160712,-2.09781,-88.73426167,38.21890304,1,,,
90,6159860,-2.43292,-88.73425991,38.21892083,1,,,
91,6159003,-2.51987,-88.73425815,38.21893862,1,,,
92,6158117,-2.1719401,-88.73425639,38.21895641,1,,,
93,6158118,-2.3162501,-88.7342334,38.21895505,1,,,
94,6155513,-2.0473299,-88.73422811,38.21900842,1,,,
95,6154689,-2.22595,-88.73422635,38.21902621,1,,,
96,6153897,-2.0324099,-88.73422459,38.219044,1,,,
97,6153898,-2.0429101,-88.73420159,38.21904264,1,,,
98,6153128,-2.2742901,-88.73419983,38.21906043,1,,,
99,6152408,-2.6838701,-88.73419807,38.21907822,1,,,
100,6151712,-2.05249,-88.73419631,38.21909601,1,,,
101,6151019,-2.05054,-88.73417155,38.21911244,1,,,
102,6151020,-2.05054,-88.73414856,38.21911108,1,,,
103,6133037,-2.4173601,-88.75222464,38.22062851,1,,,
104,6133038,-2.30197,-88.75220164,38.22062715,1,,,
105,6133039,-2.30197,-88.75217865,38.22062579,1,,,
106,6132247,-2.5406499,-88.75224587,38.22064766,1,,,
107,6132249,-2.7755699,-88.75219988,38.22064494,1,,,
108,6132250,-2.7755699,-88.75217689,38.22064358,1,,,
109,6131457,-2.42542,-88.75229011,38.22066817,1,,,
110,6131458,-2.87802,-88.75226711,38.22066681,1,,,
111,6131459,-2.9881301,-88.75224412,38.22066545,1,,,
112,6131461,-2.8320301,-88.75219813,38.22066274,1,,,
113,6131462,-2.8320301,-88.75217513,38.22066138,1,,,
114,6130584,-2.47208,-88.754059,38.22079064,1,,,
115,6130585,-2.47208,-88.75403601,38.22078928,1,,,
116,6130586,-2.4730201,-88.75401301,38.22078792,1,,,
117,6130587,-2.8054199,-88.75399001,38.22078656,1,,,
118,6130588,-2.3473499,-88.75396702,38.2207852,1,,,
119,6129757,-2.47208,-88.75405724,38.22080843,1,,,
120,6129758,-2.47208,-88.75403425,38.22080707,1,,,
121,6129759,-2.4730201,-88.75401125,38.22080571,1,,,
122,6129760,-2.8054199,-88.75398826,38.22080435,1,,,
123,6129761,-2.3473499,-88.75396526,38.22080299,1,,,
124,6128913,-2.31076,-88.7540095,38.2208235,1,,,
125,6128914,-2.5083599,-88.7539865,38.22082214,1,,,
126,6128915,-2.2198501,-88.75396351,38.22082078,1,,,
127,6123269,-2.21875,-88.75059387,38.22074683,1,,,
128,6123270,-2.4193101,-88.75057087,38.22074547,1,,,
129,6123271,-2.4883399,-88.75054788,38.22074411,1,,,
130,6123272,-2.4883399,-88.75052488,38.22074275,1,,,
131,6122503,-2.21875,-88.75059211,38.22076463,1,,,
132,6122504,-2.4193101,-88.75056912,38.22076327,1,,,
133,6122505,-2.4883399,-88.75054612,38.22076191,1,,,
134,6122506,-2.4883399,-88.75052313,38.22076055,1,,,
135,6339409,-2.0039999,-89.12746812,38.23720681,1,,,
136,6339410,-2.0039999,-89.12744511,38.23720552,1,,,
137,6044668,-2.0246301,-89.1359886,38.24501893,1,,,
138,5980303,-2.21033,-89.07999864,38.24319669,1,,,
139,5131731,-2.3988299,-89.03873403,38.26390569,1,,,
140,5131733,-2.29984,-89.038688,38.26390308,1,,,
141,5130804,-2.59952,-89.03873234,38.26392349,1,,,
142,5130805,-2.82037,-89.03870932,38.26392218,1,,,
143,5129870,-2.39499,-89.03873065,38.26394128,1,,,
144,5129871,-2.20505,-89.03870763,38.26393998,1,,,
145,4465556,-2.1609499,-89.13992463,38.28604634,1,,,
146,4231935,-2.2428601,-89.06544612,38.28973241,1,,,
147,4169334,-2.2831399,-89.06511612,38.29175334,1,,,
148,4169335,-2.2831399,-89.06509309,38.29175204,1,,,
149,4168741,-2.07059,-89.06511443,38.29177114,1,,,
150,4168742,-2.07059,-89.06509141,38.29176984,1,,,
151,3789575,-2.06879,-89.12184539,38.30879267,1,,,
152,3312388,-2.1145,-89.02349205,38.32052564,1,,,
153,3312389,-2.25491,-89.02346902,38.32052433,1,,,
154,3312390,-2.1677599,-89.02344599,38.32052302,1,,,
155,3312391,-2.0085399,-89.02342296,38.32052171,1,,,
156,3312033,-2.68594,-89.02349036,38.32054343,1,,,
157,3312034,-2.6367199,-89.02346733,38.32054212,1,,,
158,3312035,-2.4960301,-89.0234443,38.32054082,1,,,
159,3312036,-2.2635801,-89.02342126,38.32053951,1,,,
