species,dd long,dd lat
gully_high_revised_2,-89.13681191,38.27306301
gully_high_revised_2,-89.13992335,38.17720291
gully_high_revised_2,-89.13990036,38.17720162
gully_high_revised_2,-88.76085418,38.2452256
gully_high_revised_2,-89.06152363,38.18075031
gully_high_revised_2,-89.06152195,38.1807681
gully_high_revised_2,-88.72496283,38.47322357
gully_high_revised_2,-88.70940889,38.44252384
gully_high_revised_2,-89.0830344,38.26301208
gully_high_revised_2,-89.1399016,38.28604505
gully_high_revised_2,-89.12503049,38.26322577
gully_high_revised_2,-89.12500748,38.26322448
gully_high_revised_2,-89.12502882,38.26324357
gully_high_revised_2,-89.12500581,38.26324228
gully_high_revised_2,-88.94170482,38.29284067
gully_high_revised_2,-88.80911721,38.23838402
gully_high_revised_2,-88.80909421,38.23838267
gully_high_revised_2,-88.74515443,38.34057588
gully_high_revised_2,-88.74515267,38.34059367
gully_high_revised_2,-88.93408103,38.24992424
gully_high_revised_2,-89.11586979,38.42937814
gully_high_revised_2,-89.11584672,38.42937685
gully_high_revised_2,-89.14291261,38.16622465
gully_high_revised_2,-89.13685795,38.27306559
gully_high_revised_2,-88.73407967,38.21933964
gully_high_revised_2,-89.11601714,38.43003044
gully_high_revised_2,-89.11599407,38.43002915
gully_high_revised_2,-89.10683239,38.12523413
gully_high_revised_2,-88.7247975,38.29617093
gully_high_revised_2,-89.06150064,38.18074901
gully_high_revised_2,-89.06149896,38.1807668
gully_high_revised_2,-89.11601379,38.43006603
gully_high_revised_2,-89.11599072,38.43006474
gully_high_revised_2,-89.01859562,38.27857759
gully_high_revised_2,-89.02525817,38.22945031
gully_high_revised_2,-89.10387703,38.45969232
gully_high_revised_2,-89.10385396,38.45969103
gully_high_revised_2,-88.83516722,38.15190421
gully_high_revised_2,-88.83516548,38.151922
gully_high_revised_2,-88.94163233,38.29287228
gully_high_revised_2,-88.94160931,38.29287096
gully_high_revised_2,-88.76950315,38.24339158
gully_high_revised_2,-89.03681255,38.439168
gully_high_revised_2,-89.06025252,38.18001635
gully_high_revised_2,-89.12684793,38.2376551
gully_high_revised_2,-88.76250412,38.13938199
gully_high_revised_2,-88.76248115,38.13938063
gully_high_revised_2,-88.7657348,38.29028761
gully_high_revised_2,-89.14212911,38.40724866
gully_high_revised_2,-89.14210605,38.40724738
gully_high_revised_2,-88.83812337,38.13912153
gully_high_revised_2,-88.83812164,38.13913932
gully_high_revised_2,-88.97374526,38.24280932
gully_high_revised_2,-89.11848467,38.43066948
gully_high_revised_2,-88.98388086,38.34388988
gully_high_revised_2,-88.98385782,38.34388857
gully_high_revised_2,-88.98387915,38.34390768
gully_high_revised_2,-88.98385612,38.34390636
gully_high_revised_2,-88.80611326,38.23598887
gully_high_revised_2,-88.80611151,38.23600667
gully_high_revised_2,-89.06718324,38.15115654
gully_high_revised_2,-88.70942307,38.44238151
gully_high_revised_2,-88.71077397,38.25534103
gully_high_revised_2,-89.1199163,38.28617859
gully_high_revised_2,-89.01835767,38.27840303
gully_high_revised_2,-89.02335556,38.32049999
gully_high_revised_2,-88.86678038,38.18089457
gully_high_revised_2,-88.7572849,38.1419367
gully_high_revised_2,-88.75726193,38.14193534
gully_high_revised_2,-88.82202465,38.15397994
gully_high_revised_2,-88.84634212,38.15341633
gully_high_revised_2,-89.11797025,38.42972829
gully_high_revised_2,-89.10921245,38.2020652
gully_high_revised_2,-88.80788534,38.23679072
gully_high_revised_2,-89.08553246,38.26351071
gully_high_revised_2,-89.10632377,38.16438613
gully_high_revised_2,-88.7551371,38.18128734
gully_high_revised_2,-89.0803678,38.24099905
gully_high_revised_2,-88.98939634,38.26590912
gully_high_revised_2,-88.73039155,38.29299488
gully_high_revised_2,-89.12793185,38.22435181
gully_high_revised_2,-88.81302712,38.24428584
gully_high_revised_2,-89.13779815,38.18164592
gully_high_revised_2,-89.09529225,38.23307372
gully_high_revised_2,-88.93176379,38.22162719
gully_high_revised_2,-88.93174079,38.22162587
gully_high_revised_2,-89.13601268,38.24550332
gully_high_revised_2,-89.11027994,38.26311392
gully_high_revised_2,-88.94369092,38.21832412
gully_high_revised_2,-88.77892072,38.28616102
gully_high_revised_2,-89.07648011,38.24788235
gully_high_revised_2,-89.0764571,38.24788105
gully_high_revised_2,-89.07647843,38.24790014
gully_high_revised_2,-89.07645542,38.24789884
gully_high_revised_2,-88.94324025,38.43490734
gully_high_revised_2,-88.94321719,38.43490602
gully_high_revised_2,-88.80613975,38.23595464
gully_high_revised_2,-88.88222759,38.27788189
gully_high_revised_2,-88.94460458,38.43494984
gully_high_revised_2,-88.94460287,38.43496764
gully_high_revised_2,-88.91075031,38.40804177
gully_high_revised_2,-89.07248652,38.31957849
gully_high_revised_2,-89.14155108,38.26395363
gully_high_revised_2,-88.83880436,38.18878251
gully_high_revised_2,-88.75516711,38.18121753
gully_high_revised_2,-88.75358747,38.25343994
gully_high_revised_2,-88.93353278,38.4456044
gully_high_revised_2,-89.07572006,38.29809504
gully_high_revised_2,-89.07989541,38.2413481
gully_high_revised_2,-88.75045117,38.41535146
gully_high_revised_2,-88.75044941,38.41536926
gully_high_revised_2,-88.97233622,38.34494746
gully_high_revised_2,-89.11452309,38.25438904
gully_high_revised_2,-89.04428467,38.19707406
gully_high_revised_2,-88.80593132,38.23619294
gully_high_revised_2,-89.09268054,38.24804431
gully_high_revised_2,-88.94285918,38.43501072
gully_high_revised_2,-88.94285747,38.43502851
gully_high_revised_2,-89.1368793,38.27308467
gully_high_revised_2,-88.72731897,38.26842081
gully_high_revised_2,-88.7273172,38.2684386
gully_high_revised_2,-89.11837136,38.43039478
gully_high_revised_2,-89.11197539,38.25959525
gully_high_revised_2,-89.08776136,38.18362856
gully_high_revised_2,-88.71087257,38.44250324
gully_high_revised_2,-88.81192919,38.2448657
gully_high_revised_2,-88.93280864,38.42164014
gully_high_revised_2,-88.93280692,38.42165793
gully_high_revised_2,-89.11832857,38.43035661
gully_high_revised_2,-88.95485901,38.19762042
gully_high_revised_2,-88.94366792,38.21832279
gully_high_revised_2,-89.13978982,38.28600303
gully_high_revised_2,-88.7305736,38.28718954
gully_high_revised_2,-88.83878138,38.18878117
gully_high_revised_2,-89.125779,38.26412644
gully_high_revised_2,-89.12575598,38.26412515
gully_high_revised_2,-88.85928747,38.24843753
gully_high_revised_2,-88.85553845,38.31567951
gully_high_revised_2,-89.13437166,38.20395992
gully_high_revised_2,-88.79643656,38.37884761
gully_high_revised_2,-88.96739625,38.40220641
gully_high_revised_2,-89.10866036,38.40743433
gully_high_revised_2,-88.95334602,38.19989528
gully_high_revised_2,-88.7304606,38.29299897
gully_high_revised_2,-89.10314909,38.46027768
gully_high_revised_2,-88.76460308,38.26187475
gully_high_revised_2,-89.14066993,38.25803643
gully_high_revised_2,-89.14066827,38.25805423
gully_high_revised_2,-88.83583314,38.47463023
gully_high_revised_2,-89.06040503,38.18011445
gully_high_revised_2,-89.01828861,38.2783991
gully_high_revised_2,-88.97274665,38.34477413
gully_high_revised_2,-89.06045574,38.16685988
gully_high_revised_2,-88.93524743,38.24213644
gully_high_revised_2,-88.71275512,38.26311827
gully_high_revised_2,-88.72493222,38.29668
gully_high_revised_2,-89.03750231,38.19253814
gully_high_revised_2,-88.98770905,38.38545705
gully_high_revised_2,-89.1180869,38.42996739
gully_high_revised_2,-88.77375277,38.28222406
gully_high_revised_2,-88.71276219,38.26304711
gully_high_revised_2,-88.82027872,38.14394606
gully_high_revised_2,-89.03487485,38.20001067
gully_high_revised_2,-89.03487317,38.20002846
gully_high_revised_2,-88.89530054,38.17519728
gully_high_revised_2,-89.10584524,38.16382248
gully_high_revised_2,-89.1425297,38.26660238
gully_high_revised_2,-89.14252803,38.26662018
gully_high_revised_2,-89.02165684,38.34709772
gully_high_revised_2,-88.74207566,38.27974583
gully_high_revised_2,-88.94264628,38.2354411
gully_high_revised_2,-89.12482002,38.26324976
gully_high_revised_2,-89.124797,38.26324847
gully_high_revised_2,-88.747994,38.15600765
gully_high_revised_2,-89.00734465,38.13201008
gully_high_revised_2,-89.01887892,38.27900522
gully_high_revised_2,-89.11742775,38.42883919
gully_high_revised_2,-89.12573797,38.26407047
gully_high_revised_2,-89.1257363,38.26408827
gully_high_revised_2,-88.91095031,38.20102916
gully_high_revised_2,-89.13683493,38.2730643
gully_high_revised_2,-89.14216718,38.21974597
gully_high_revised_2,-89.11759053,38.42908088
